,period,inter,direc,cycle,type,pollutant,emi,sim,vspfast,vspslow,vspmass,vehicleslow,vehiclefast,avgspeed,avgaccel,avgTT,label,predicted,error
0,morning3,Pinebush,SB,25,21,Methane,0.19350522826748706,0,98.35681269301284,0.0,145.45005461042737,0,2,58.7496153846154,0.013461538461538459,32.8,morning3 Pinebush SB cycle25,1.1369404428478274,0.9434352145803403
1,morning2,Pinebush,SB,20,21,Methane,0.5489639299225098,0,280.35725148222997,0.0,414.5923034919217,0,5,59.93532258064518,0.0567741935483871,33.375,morning2 Pinebush SB cycle20,1.466447679910155,0.9174837499876451
2,afternoon2,Pinebush,SB,25,21,Methane,1.4740036556667802,0,235.11385728671212,69.77505262416902,450.8697199762111,1,3,48.85458333333335,0.93125,40.4,afternoon2 Pinebush SB cycle25,1.4857530916954336,0.011749436028653415
3,morning1,Dunbar,SB,27,21,Methane,0.9689229573363898,0,922.3532194794797,0.0,1363.9759409662545,0,8,63.57174157303368,0.06404494382022471,29.625,morning1 Dunbar SB cycle27,1.651592374432623,0.6826694170962333
4,morning1,Dunbar,SB,12,21,Methane,0.8488929070982801,0,636.9534611821299,100.29189328633468,1090.2384301879654,2,4,61.84398230088495,0.20318584070796467,28.9,morning1 Dunbar SB cycle12,1.6520900542855714,0.8031971471872913
5,morning2,Dunbar,SB,11,21,Methane,1.05007968215449,0,629.4779908227126,77.19750628547827,1045.0317251235927,2,6,58.71503875968987,0.1809302325581396,31.700000000000006,morning2 Dunbar SB cycle11,1.8537808521019317,0.8037011699474417
6,morning2,Bishop,SB,34,21,Methane,1.22693779648826,0,585.7743888960058,102.34694082512873,1017.593822391614,3,5,55.80117117117109,0.2363063063063064,41.0,morning2 Bishop SB cycle34,1.8886204164537173,0.6616826199654573
7,morning1,Dunbar,SB,18,21,Methane,1.4191277452565403,0,1040.9789307564804,76.10476642027047,1651.943371384979,1,8,62.64530612244898,0.13928571428571432,37.0,morning1 Dunbar SB cycle18,1.893227946832237,0.47410020157569677
8,morning2,Dunbar,SB,28,21,Methane,1.3775688752978696,0,931.9201612268613,31.031847034801107,1424.013429817346,1,9,61.53248484848488,0.1314545454545454,29.566666666666666,morning2 Dunbar SB cycle28,1.9423405418097304,0.5647716665118607
9,morning3,Pinebush,SB,22,21,Methane,2.05913274920826,0,303.5947265533908,36.78058854861501,503.3470159728461,2,7,58.13778947368421,0.028842105263157895,33.9,morning3 Pinebush SB cycle22,1.9827154670507068,-0.07641728215755306
10,morning1,Bishop,SB,7,21,Methane,1.7420206886911298,0,893.9948882093837,27.22296705309905,1362.2969643621593,4,8,58.471172413793134,0.19227586206896552,43.75,morning1 Bishop SB cycle7,2.0749240200061045,0.33290333131497474
11,morning3,Pinebush,SB,8,21,Methane,2.55714110794273,0,305.6526451110871,168.09496799224252,700.5779702572037,3,5,41.047954545454544,0.93,38.58,morning3 Pinebush SB cycle8,2.1428083740953747,-0.41433273384735525
12,morning3,Dunbar,SB,31,21,Methane,1.3382927714661896,0,1355.5883856801447,0.0,2004.644104743798,0,13,61.430389221556815,0.010838323353293391,31.157142857142855,morning3 Dunbar SB cycle31,2.1600036342575706,0.821710862791381
13,morning1,Bishop,SB,22,21,Methane,1.2112530897786298,0,906.646752850632,73.75393007707956,1449.8165299134998,1,10,61.23688888888889,0.059644444444444465,41.825,morning1 Bishop SB cycle22,2.187190990440728,0.9759379006620981
14,morning1,Dunbar,SB,11,21,Methane,1.1172735822916398,0,748.0675500648113,0.0,1106.2422930358427,0,12,63.555240384615466,-0.032932692307692295,31.116666666666664,morning1 Dunbar SB cycle11,2.221789637261819,1.1045160549701794
